code,current,name,name_short,name_tv,gender,function,country_code,country,country_long,nationality,nationality_long,nationality_code,height,weight,disciplines,events,birth_date,birth_place,birth_country,residence_place,residence_country
1572548,TRUE,HANSSON Sophie,HANSSON S,Sophie HANSSON,Female,Athlete,SWE,Sweden,Sweden,Sweden,Sweden,SWE,0,0,['Swimming'],"[""Women's 100m Breaststroke"", ""Women's 200m Breaststroke"", ""Women's 4 x 100m Medley Relay""]",1998-08-02,HELSINGBORG,Sweden,LOUGHBOROUGH,Great Britain
1572549,TRUE,HANSSON Louise,HANSSON L,Louise HANSSON,Female,Athlete,SWE,Sweden,Sweden,Sweden,Sweden,SWE,0,0,['Swimming'],"[""Women's 100m Backstroke"", ""Women's 100m Butterfly"", ""Women's 4 x 100m Freestyle Relay"", ""Women's 4 x 100m Medley Relay""]",1996-11-24,HELSINGBORG,Sweden,LOUGHBOROUGH,Great Britain
1572551,TRUE,JOHANSSON Victor,JOHANSSON V,Victor JOHANSSON,Male,Athlete,SWE,Sweden,Sweden,Sweden,Sweden,SWE,0,0,"['Marathon Swimming', 'Swimming']","[""Men's 10km"", ""Men's 1500m Freestyle"", ""Men's 400m Freestyle"", ""Men's 800m Freestyle""]",1998-09-13,NASSJO,Sweden,J?NK?PING,Sweden
1572552,TRUE,JUNEVIK Sara,JUNEVIK S,Sara JUNEVIK,Female,Athlete,SWE,Sweden,Sweden,Sweden,Sweden,SWE,0,0,['Swimming'],"[""Women's 4 x 100m Freestyle Relay"", 'Relay Only Athlete', 'Mixed 4 x 100m Medley Relay']",2000-02-14,LEKSAND,Sweden,STOCKHOLM,Sweden
1572555,TRUE,PERSSON Erik,PERSSON E,Erik PERSSON,Male,Athlete,SWE,Sweden,Sweden,Sweden,Sweden,SWE,0,0,['Swimming'],"[""Men's 200m Breaststroke"", 'Mixed 4 x 100m Medley Relay']",1994-01-12,KUNGSBACKA,Sweden,KUNGSBACKA,Sweden
1572556,TRUE,SEELIGER Bjoern,SEELIGER B,Bjoern SEELIGER,Male,Athlete,SWE,Sweden,Sweden,Sweden,Sweden,SWE,0,0,['Swimming'],"[""Men's 100m Freestyle"", ""Men's 4 x 100m Freestyle Relay"", ""Men's 50m Freestyle""]",2000-01-11,CELLE,Germany,"BERKELEY, CA",United States
1572557,TRUE,SJOESTROEM Sarah,SJOESTROEM S,Sarah SJOESTROEM,Female,Athlete,SWE,Sweden,Sweden,Sweden,Sweden,SWE,0,0,['Swimming'],"[""Women's 100m Freestyle"", ""Women's 4 x 100m Freestyle Relay"", ""Women's 4 x 100m Medley Relay"", ""Women's 50m Freestyle""]",1993-08-17,RONNINGE,Sweden,STOCKHOLM,Sweden
1572558,TRUE,AASTEDT Sofia,AASTEDT S,Sofia AASTEDT,Female,Athlete,SWE,Sweden,Sweden,Sweden,Sweden,SWE,0,0,['Swimming'],"[""Women's 4 x 100m Freestyle Relay"", 'Relay Only Athlete']",2003-11-13,SKENE,Sweden,HELSINGBORG,Sweden
1572559,TRUE,ROSVALL Hanna,ROSVALL H,Hanna ROSVALL,Female,Athlete,SWE,Sweden,Sweden,Sweden,Sweden,SWE,0,0,['Swimming'],"[""Women's 4 x 100m Medley Relay"", 'Relay Only Athlete', 'Mixed 4 x 100m Medley Relay']",2000-02-10,?NGELHOM,Sweden,BERGEN,Norway
1572560,TRUE,SAADELDIN Rana,SAADELDIN R,Rana SAADELDIN,Female,Athlete,SUD,Sudan,Sudan,Sudan,Sudan,SUD,0,0,['Swimming'],"[""Women's 100m Freestyle""]",2008-08-04,,,,
1572578,TRUE,WINBERG Hampus,WINBERG H,Hampus WINBERG,Male,Athlete,SWE,Sweden,Sweden,Sweden,Sweden,SWE,0,0,['Skateboarding'],"[""Men's Park""]",2006-06-22,VARBERG,Sweden,HALMSTAD,Sweden
